QueryNumber;QueryText
00043;SALT SODIUM CHLORID ABNORM
00044;STRUCTUR ENZYMAT DIFFER FIBROBLAST PATIENT PATIENT
00045;ABNORM PROSTAGLANDIN METABOL DESCRIB PATIENT
00046;PROPERTI ACTIV GALACTOSYLTRANSFERAS ENZYM PATIENT
00047;DIFFER NORMAL SUBJECT PATIENT DESCRIB FUNCTION METABOL HORMON
00048;FIBROBLAST PATIENT GROW NORMAL RATE
00049;RNA METHYL POLYAMIN METABOL NORMAL PATIENT
00050;DEFECT SYNTHESI METABOL CYCLIC NUCLEOTID DESCRIB PATIENT
00051;CIRCUL SECRET FACTOR DESCRIB PATIENT FACTOR UNIDENTIFI BIOLOG ACTIV MOLECUL THOUGHT PLAI PATHOGENET ROLE CYSTIC FIBROSI
00052;KNOWN PROLACTIN PATIENT
00053;SECRETORI IGA PROTECT PATIENT BACTERI COLON INFECT
00054;RELATIONSHIP ALLERGI HYPERSENSIT LUNG DISEAS PATIENT
00055;INTERACT PROTEAS ENDOGEN BACTERI ORIGIN ANTIPROTEAS LUNG PATIENT
00056;RELATIONSHIP NUTRIT PULMONARI HOST DEFENS BACTERI INFECT PATIENT
00057;PATHOPHYSIOLOG ROLE CIRCUL ANTIBODI PSEUDOMONA AERUGINOSA PATIENT
00058;IMMUNOLOG RESPONS PULMONARI INFECT PATIENT
00059;IMMUNOLOG ABNORM FOUND PATIENT
00060;EFFECT PULMONARI CIRCUL
00061;DEFECT MUCOCILIARI TRANSPORT CLEARANC RESPIRATORI TRACT PATIENT
00062;CLINIC FEATUR LUNG DISEAS PATIENT
00063;BIOCHEM MICROSCOP CHARACTERIST AIRWAI INFLAMM PATIENT
00064;LUNG FUNCTION CHANG TIME PATIENT TIME PERIOD GREATER DAI
00065;ABNORM PULMONARI FUNCTION PATIENT
00066;PATHOLOG FEATUR LUNG DISEAS PATIENT
00067;PROGNOSI PATIENT EPISOD RESPIRATORI FAILUR
00068;EFFECT BRONCHODIL PATIENT
00069;BEST WAI TREAT PNEUMOTHORAX PATIENT
00070;TREATMENT PROGNOSI HEMOPTYSI PATIENT
00071;PROGNOSI INFANT WHEEZ CYSTIC FIBROSI
00072;BEST TREATMENT NASAL POLYP PATIENT
00073;EFFECT BRONCHIAL LAVAG PATIENT
00074;RESULT MECHAN VENTIL PATIENT RESPIRATORI FAILUR
00075;BEST TREATMENT PULMONARI HYPERTENS COR PULMONAL PATIENT
00076;EFFECT EXERCIS TRAIN PROGRAM LUNG FUNCTION PATIENT
00077;TECHNIQU EFFECT PROMOT CLEARANC MUCU LUNG PATIENT
00078;SPECIAL CONSIDER TREATMENT PATIENT ANTIBIOT PHARMACODYNAM ANTIBIOT DIFFER PATIENT SPECIAL PROBLEM PECULIAR
00079;ROLE ORAL ADMINIST ANTIBIOT TREATMENT PATIENT
00080;EVID COMBIN THERAPI AMINOGLYCOSID SEMISYNTHET PENICILLIN EFFECT THERAPI EITHER ALON
00081;EFFECT INHAL MUCOLYT AGENT TREATMENT PATIENT
00082;ROLE AEROSOL TREATMENT LUNG DISEAS PATIENT
00083;ROLE BACTERI PHAGOCYTOSI ALVEOLAR MACROPHAG POLYMORPHONUCLEAR LEUKOCYT LUNG DISEAS PATIENT
00084;RELATIONSHIP HAEMOPHILU INFLUENZA PSEUDOMONA AERUGINOSA PATIENT
00085;PATIENT EVER DEVELOP INFECT ORGAN LUNG ORGAN
00086;ROLE BACTERIA PSEUDOMONA AERUGINOSA STAPHYLOCOCCU AUREU HAEMOPHILU INFLUENZA PATHOGENESI LUNG DISEAS PATIENT
00087;ROLE FUNGI PATHOGENESI LUNG DISEAS PATIENT
00088;ROLE VIRAL INFECT LUNG DISEAS PATIENT
00089;EPIDEMIOLOG PSEUDOMONA AERUGINOSA PATIENT SPECIF PATIENT SPREAD PSEUDOMONA AERUGINOSA PATIENT INDIVIDU FAMILI
00090;FACTOR RESPONS APPEAR MUCOID STRAIN PSEUDOMONA AERUGINOSA PATIENT
00091;UNUSU MANIFEST LUNG DISEAS EXOCRIN PANCREAT INSUFFICI
00092;PROGNOSI SURVIV PATIENT
00094;ANIM MODEL AVAIL RELEV
00095;ABNORM SKELET MUSCL FUNCTION STRUCTUR FOUND PATIENT
00096;INCREAS INCID DENTAL PROBLEM CARI PERIODONT DISEAS PATIENT
00097;OXYGEN TRANSPORT RED BLOOD CELL ABNORM PATIENT
00098;EFFECT DEVELOP FUNCTION BRAIN CENTRAL NERVOU SYSTEM
00099;ABNORM TAST PATIENT
00100;INCID TREATMENT HYPERTROPH OSTEOARTHROPATHI PATIENT
